Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2020/2021,486.0,International,Alberta,Institution,2020,2021
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2020/2021,342.0,International,Alberta,Institution,2020,2021
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2020/2021,87.0,International,Alberta,Institution,2020,2021
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2020/2021,1551.0,International,Alberta,Institution,2020,2021
"Olds College, Alberta",Olds College,Olds College,2020/2021,87.0,International,Alberta,Institution,2020,2021
"Lakeland College, Alberta",Lakeland College,Lakeland College,2020/2021,174.0,International,Alberta,Institution,2020,2021
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2020/2021,147.0,International,Alberta,Institution,2020,2021
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2020/2021,501.0,International,Alberta,Institution,2020,2021
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2020/2021,207.0,International,Alberta,Institution,2020,2021
"Keyano College, Alberta",Keyano College,Keyano College,2020/2021,93.0,International,Alberta,Institution,2020,2021
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2020/2021,183.0,International,Alberta,Institution,2020,2021
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2020/2021,1827.0,International,Alberta,Institution,2020,2021
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2020/2021,1917.0,International,Alberta,Institution,2020,2021
"NorQuest College, Alberta",NorQuest College,NorQuest College,2020/2021,1182.0,International,Alberta,Institution,2020,2021
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2020/2021,9.0,International,Alberta,Institution,2020,2021
"Portage College, Alberta",Portage College,Portage College,2020/2021,0.0,International,Alberta,Institution,2020,2021
Alberta 11,Alberta,Alberta,2021/2022,25311.0,International,Alberta,Province Total,2021,2022
"University of Alberta, Alberta",University of Alberta,University of Alberta,2021/2022,8214.0,International,Alberta,Institution,2021,2022
"Athabasca University, Alberta",Athabasca University,Athabasca University,2021/2022,456.0,International,Alberta,Institution,2021,2022
"University of Calgary, Alberta",University of Calgary,University of Calgary,2021/2022,6168.0,International,Alberta,Institution,2021,2022
"Burman University, Alberta",Burman University,Burman University,2021/2022,69.0,International,Alberta,Institution,2021,2022
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2021/2022,444.0,International,Alberta,Institution,2021,2022
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2021/2022,618.0,International,Alberta,Institution,2021,2022
"The King's University, Alberta",The King's University,The King's University,2021/2022,78.0,International,Alberta,Institution,2021,2022
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2021/2022,15.0,International,Alberta,Institution,2021,2022
"Ambrose University, Alberta",Ambrose University,Ambrose University,2021/2022,15.0,International,Alberta,Institution,2021,2022
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2021/2022,525.0,International,Alberta,Institution,2021,2022
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2021/2022,354.0,International,Alberta,Institution,2021,2022
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2021/2022,78.0,International,Alberta,Institution,2021,2022
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2021/2022,1545.0,International,Alberta,Institution,2021,2022
"Olds College, Alberta",Olds College,Olds College,2021/2022,87.0,International,Alberta,Institution,2021,2022
"Lakeland College, Alberta",Lakeland College,Lakeland College,2021/2022,132.0,International,Alberta,Institution,2021,2022
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2021/2022,99.0,International,Alberta,Institution,2021,2022
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2021/2022,432.0,International,Alberta,Institution,2021,2022
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2021/2022,186.0,International,Alberta,Institution,2021,2022
"Keyano College, Alberta",Keyano College,Keyano College,2021/2022,135.0,International,Alberta,Institution,2021,2022
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2021/2022,261.0,International,Alberta,Institution,2021,2022
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2021/2022,1725.0,International,Alberta,Institution,2021,2022
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2021/2022,2058.0,International,Alberta,Institution,2021,2022
"NorQuest College, Alberta",NorQuest College,NorQuest College,2021/2022,1569.0,International,Alberta,Institution,2021,2022
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2021/2022,9.0,International,Alberta,Institution,2021,2022
"Portage College, Alberta",Portage College,Portage College,2021/2022,39.0,International,Alberta,Institution,2021,2022
Alberta 11,Alberta,Alberta,2022/2023,30018.0,International,Alberta,Province Total,2022,2023
"University of Alberta, Alberta",University of Alberta,University of Alberta,2022/2023,8466.0,International,Alberta,Institution,2022,2023
"Athabasca University, Alberta",Athabasca University,Athabasca University,2022/2023,450.0,International,Alberta,Institution,2022,2023
"University of Calgary, Alberta",University of Calgary,University of Calgary,2022/2023,6915.0,International,Alberta,Institution,2022,2023
"Burman University, Alberta",Burman University,Burman University,2022/2023,60.0,International,Alberta,Institution,2022,2023
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2022/2023,453.0,International,Alberta,Institution,2022,2023
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2022/2023,831.0,International,Alberta,Institution,2022,2023
"The King's University, Alberta",The King's University,The King's University,2022/2023,84.0,International,Alberta,Institution,2022,2023
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2022/2023,12.0,International,Alberta,Institution,2022,2023
"Ambrose University, Alberta",Ambrose University,Ambrose University,2022/2023,27.0,International,Alberta,Institution,2022,2023
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2022/2023,570.0,International,Alberta,Institution,2022,2023
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2022/2023,438.0,International,Alberta,Institution,2022,2023
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2022/2023,102.0,International,Alberta,Institution,2022,2023
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2022/2023,2073.0,International,Alberta,Institution,2022,2023
"Olds College, Alberta",Olds College,Olds College,2022/2023,111.0,International,Alberta,Institution,2022,2023
"Lakeland College, Alberta",Lakeland College,Lakeland College,2022/2023,141.0,International,Alberta,Institution,2022,2023
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2022/2023,135.0,International,Alberta,Institution,2022,2023
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2022/2023,645.0,International,Alberta,Institution,2022,2023
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2022/2023,261.0,International,Alberta,Institution,2022,2023
"Keyano College, Alberta",Keyano College,Keyano College,2022/2023,294.0,International,Alberta,Institution,2022,2023
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2022/2023,489.0,International,Alberta,Institution,2022,2023
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2022/2023,2037.0,International,Alberta,Institution,2022,2023
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2022/2023,3123.0,International,Alberta,Institution,2022,2023
"NorQuest College, Alberta",NorQuest College,NorQuest College,2022/2023,2106.0,International,Alberta,Institution,2022,2023
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2022/2023,9.0,International,Alberta,Institution,2022,2023
"Portage College, Alberta",Portage College,Portage College,2022/2023,189.0,International,Alberta,Institution,2022,2023
Alberta 11,Alberta,Alberta,2023/2024,37416.0,International,Alberta,Province Total,2023,2024
"University of Alberta, Alberta",University of Alberta,University of Alberta,2023/2024,8331.0,International,Alberta,Institution,2023,2024
"Athabasca University, Alberta",Athabasca University,Athabasca University,2023/2024,516.0,International,Alberta,Institution,2023,2024
"University of Calgary, Alberta",University of Calgary,University of Calgary,2023/2024,7113.0,International,Alberta,Institution,2023,2024
"Burman University, Alberta",Burman University,Burman University,2023/2024,72.0,International,Alberta,Institution,2023,2024
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2023/2024,495.0,International,Alberta,Institution,2023,2024
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2023/2024,1332.0,International,Alberta,Institution,2023,2024
"The King's University, Alberta",The King's University,The King's University,2023/2024,96.0,International,Alberta,Institution,2023,2024
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2023/2024,6.0,International,Alberta,Institution,2023,2024
"Ambrose University, Alberta",Ambrose University,Ambrose University,2023/2024,39.0,International,Alberta,Institution,2023,2024
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2023/2024,762.0,International,Alberta,Institution,2023,2024
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2023/2024,540.0,International,Alberta,Institution,2023,2024
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2023/2024,99.0,International,Alberta,Institution,2023,2024
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2023/2024,2679.0,International,Alberta,Institution,2023,2024
"Olds College, Alberta",Olds College,Olds College,2023/2024,426.0,International,Alberta,Institution,2023,2024
"Lakeland College, Alberta",Lakeland College,Lakeland College,2023/2024,204.0,International,Alberta,Institution,2023,2024
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2023/2024,300.0,International,Alberta,Institution,2023,2024
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2023/2024,1131.0,International,Alberta,Institution,2023,2024
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2023/2024,357.0,International,Alberta,Institution,2023,2024
"Keyano College, Alberta",Keyano College,Keyano College,2023/2024,756.0,International,Alberta,Institution,2023,2024
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2023/2024,780.0,International,Alberta,Institution,2023,2024
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2023/2024,2460.0,International,Alberta,Institution,2023,2024
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2023/2024,5169.0,International,Alberta,Institution,2023,2024
"NorQuest College, Alberta",NorQuest College,NorQuest College,2023/2024,3645.0,International,Alberta,Institution,2023,2024
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2023/2024,18.0,International,Alberta,Institution,2023,2024
"Portage College, Alberta",Portage College,Portage College,2023/2024,93.0,International,Alberta,Institution,2023,2024
