Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2020/2021,2088.0,Total,Alberta,Institution,2020,2021
"Keyano College, Alberta",Keyano College,Keyano College,2020/2021,1086.0,Total,Alberta,Institution,2020,2021
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2020/2021,3837.0,Total,Alberta,Institution,2020,2021
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2020/2021,12909.0,Total,Alberta,Institution,2020,2021
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2020/2021,12240.0,Total,Alberta,Institution,2020,2021
"NorQuest College, Alberta",NorQuest College,NorQuest College,2020/2021,7143.0,Total,Alberta,Institution,2020,2021
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2020/2021,1434.0,Total,Alberta,Institution,2020,2021
"Portage College, Alberta",Portage College,Portage College,2020/2021,885.0,Total,Alberta,Institution,2020,2021
Alberta 11,Alberta,Alberta,2021/2022,203580.0,Total,Alberta,Province Total,2021,2022
"University of Alberta, Alberta",University of Alberta,University of Alberta,2021/2022,43905.0,Total,Alberta,Institution,2021,2022
"Athabasca University, Alberta",Athabasca University,Athabasca University,2021/2022,17127.0,Total,Alberta,Institution,2021,2022
"University of Calgary, Alberta",University of Calgary,University of Calgary,2021/2022,37200.0,Total,Alberta,Institution,2021,2022
"Burman University, Alberta",Burman University,Burman University,2021/2022,339.0,Total,Alberta,Institution,2021,2022
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2021/2022,2817.0,Total,Alberta,Institution,2021,2022
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2021/2022,9117.0,Total,Alberta,Institution,2021,2022
"The King's University, Alberta",The King's University,The King's University,2021/2022,879.0,Total,Alberta,Institution,2021,2022
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2021/2022,1032.0,Total,Alberta,Institution,2021,2022
"Ambrose University, Alberta",Ambrose University,Ambrose University,2021/2022,546.0,Total,Alberta,Institution,2021,2022
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2021/2022,15501.0,Total,Alberta,Institution,2021,2022
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2021/2022,14346.0,Total,Alberta,Institution,2021,2022
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2021/2022,1089.0,Total,Alberta,Institution,2021,2022
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2021/2022,7170.0,Total,Alberta,Institution,2021,2022
"Olds College, Alberta",Olds College,Olds College,2021/2022,1518.0,Total,Alberta,Institution,2021,2022
"Lakeland College, Alberta",Lakeland College,Lakeland College,2021/2022,2226.0,Total,Alberta,Institution,2021,2022
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2021/2022,1701.0,Total,Alberta,Institution,2021,2022
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2021/2022,4626.0,Total,Alberta,Institution,2021,2022
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2021/2022,2019.0,Total,Alberta,Institution,2021,2022
"Keyano College, Alberta",Keyano College,Keyano College,2021/2022,1194.0,Total,Alberta,Institution,2021,2022
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2021/2022,3705.0,Total,Alberta,Institution,2021,2022
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2021/2022,12723.0,Total,Alberta,Institution,2021,2022
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2021/2022,12312.0,Total,Alberta,Institution,2021,2022
"NorQuest College, Alberta",NorQuest College,NorQuest College,2021/2022,7821.0,Total,Alberta,Institution,2021,2022
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2021/2022,1581.0,Total,Alberta,Institution,2021,2022
"Portage College, Alberta",Portage College,Portage College,2021/2022,1095.0,Total,Alberta,Institution,2021,2022
Alberta 11,Alberta,Alberta,2022/2023,205734.0,Total,Alberta,Province Total,2022,2023
"University of Alberta, Alberta",University of Alberta,University of Alberta,2022/2023,44535.0,Total,Alberta,Institution,2022,2023
"Athabasca University, Alberta",Athabasca University,Athabasca University,2022/2023,16458.0,Total,Alberta,Institution,2022,2023
"University of Calgary, Alberta",University of Calgary,University of Calgary,2022/2023,37680.0,Total,Alberta,Institution,2022,2023
"Burman University, Alberta",Burman University,Burman University,2022/2023,348.0,Total,Alberta,Institution,2022,2023
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2022/2023,2628.0,Total,Alberta,Institution,2022,2023
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2022/2023,8553.0,Total,Alberta,Institution,2022,2023
"The King's University, Alberta",The King's University,The King's University,2022/2023,810.0,Total,Alberta,Institution,2022,2023
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2022/2023,942.0,Total,Alberta,Institution,2022,2023
"Ambrose University, Alberta",Ambrose University,Ambrose University,2022/2023,537.0,Total,Alberta,Institution,2022,2023
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2022/2023,15249.0,Total,Alberta,Institution,2022,2023
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2022/2023,14187.0,Total,Alberta,Institution,2022,2023
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2022/2023,1131.0,Total,Alberta,Institution,2022,2023
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2022/2023,8022.0,Total,Alberta,Institution,2022,2023
"Olds College, Alberta",Olds College,Olds College,2022/2023,1782.0,Total,Alberta,Institution,2022,2023
"Lakeland College, Alberta",Lakeland College,Lakeland College,2022/2023,2343.0,Total,Alberta,Institution,2022,2023
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2022/2023,1632.0,Total,Alberta,Institution,2022,2023
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2022/2023,4734.0,Total,Alberta,Institution,2022,2023
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2022/2023,2082.0,Total,Alberta,Institution,2022,2023
"Keyano College, Alberta",Keyano College,Keyano College,2022/2023,1311.0,Total,Alberta,Institution,2022,2023
